-0.1 0.27 0.26 -0.25 0.67 0.71 2.24 2.29
1.78 1.75 2.08 2.08 1.56 1.81 2.53 2.54
0.92 1.11 0.5 -0.77 -0.3 0.36 0.64 0.05
0.72 -0.25 0.98 0.21 -0.13 -0.74 -0.74 -0.68
0.39 0.3 0.38 -0.12 0.01 -0.47 -0.12 -1.01
-2.04 -1.1 -0.98 -1.14 -0.97 -1.62 -1.45 -1.28
0.07 0.35 -0.25 -0.16 -0.05 0.15 0.4 1
0.6 1.85 1.5 1.04 1.09 1.74 1.09 1.56
0.9 0.59 1.72 0.75 1.14 1.81 2.55 2.65
-1.56 -1.87 -0.31 1 1.49 2.65 2.53 2.24
0.73 0.34 0.68 0.12 0.24 -0.18 0.27 0.14
0.68 0.49 -0.32 -0.34 0.08 -0.25 -0.38 -0.11
0.15 1.88 0.47 0.58 0.69 0.62 0.65 1.69
1.81 1.6 1.95 3.47 2.9 3.86 3.59 3.27
-0.29 -0.33 -1.12 -1.79 -1.6 -1.6 -1.61 -1.83
2.22 2.22 2.13 0.66 1.15 0.65 0.41 1.31
-0.36 0.18 0.26 2.17 2.4 4.18 3.94 2.43
0.44 -0.14 -0.26 -0.7 0.31 1.1 2.89 2.82
-0.76 -0.2 -0.52 -0.24 0.28 2.04 2.17 3.07
-0.63 -0.29 -0.48 3.09 4.32 3.99 4.01 3.97
-1.36 -1.29 0.58 0.38 2.15 3.59 3.29 2.51
-2.07 -1.61 -2.06 -0.84 -0.93 0.62 1.47 2.13
1.34 1.17 0.78 0.48 0.51 -0.22 -0.34 -0.43
